iter	Passed	Remaining
198	279	1124
199	280	1120
200	280	1115
201	281	1111
202	282	1108
203	283	1107
204	284	1104
205	285	1101
206	286	1097
207	287	1094
208	288	1091
209	289	1087
210	290	1084
211	290	1080
212	291	1077
213	292	1074
214	293	1070
215	294	1067
216	294	1063
217	295	1060
218	296	1056
219	297	1055
220	298	1053
221	299	1050
222	300	1047
223	301	1044
224	302	1041
225	303	1038
226	304	1035
227	305	1034
228	306	1031
229	307	1028
230	307	1024
231	308	1021
232	309	1017
233	309	1013
234	310	1010
235	311	1007
236	311	1004
237	312	1000
238	313	997
239	314	995
240	315	992
241	315	989
242	316	986
243	317	983
244	318	980
245	318	977
246	319	974
247	320	971
248	320	968
249	321	965
250	322	962
251	323	958
252	323	955
253	324	952
254	325	949
255	325	947
256	326	944
257	331	953
258	332	951
259	333	948
260	334	946
261	334	943
262	335	940
263	336	938
264	337	935
265	338	933
266	338	930
267	339	927
268	340	924
269	341	922
270	341	919
271	342	916
272	343	913
273	343	911
274	344	908
275	345	905
276	346	903
277	346	900
278	347	898
279	348	895
280	349	893
281	349	890
282	350	887
283	351	885
284	351	882
285	352	880
286	353	878
287	355	878
288	356	877
289	358	877
290	359	876
291	361	875
292	361	873
293	362	871
294	363	869
295	364	866
296	365	864
297	365	862
298	366	859
299	367	857
300	367	854
301	369	854
302	370	852
303	371	850
304	372	848
305	373	847
306	374	845
307	375	844
308	376	842
309	377	840
310	378	838
311	379	836
312	379	833
313	380	831
314	381	829
315	381	826
316	382	824
317	383	822
318	384	820
319	384	817
320	385	815
321	386	813
322	386	810
323	387	808
324	388	806
325	389	804
326	390	802
327	390	800
328	391	798
329	392	796
330	392	794
331	393	791
332	394	789
333	395	787
334	395	785
335	396	783
336	397	781
337	397	779
338	398	777
339	399	775
340	400	773
341	401	771
342	401	769
343	402	767
344	403	766
345	404	764
346	405	763
347	406	761
348	407	759
349	407	757
350	408	755
351	409	753
352	409	751
353	410	749
354	411	747
355	412	745
356	412	743
357	413	741
358	414	739
359	415	738
360	415	736
361	416	734
362	417	732
363	418	731
364	419	729
365	420	728
366	421	726
367	421	724
368	422	722
369	423	720
370	424	718
371	424	717
372	425	715
373	426	713
374	427	711
375	427	709
376	428	708
377	429	706
378	429	704
379	430	702
380	431	700
381	432	699
382	433	697
383	434	696
384	435	695
385	435	693
386	436	691
387	437	690
388	438	688
389	439	686
390	439	685
391	440	683
392	441	681
393	442	679
394	442	678
395	443	676
396	444	674
397	444	672
398	445	671
399	446	669
400	447	667
401	447	666
402	448	665
403	449	663
404	450	661
405	451	660
406	451	658
407	452	656
408	453	655
409	454	653
410	454	651
411	455	650
412	456	648
413	457	647
414	457	645
415	458	643
416	459	642
417	460	640
418	461	639
419	462	638
420	463	637
421	464	635
422	465	635
423	466	633
424	467	632
425	468	631
426	469	629
427	470	628
428	471	627
429	472	625
430	473	624
431	474	623
432	474	621
433	475	620
434	476	618
435	477	617
436	477	615
437	479	614
438	479	613
439	480	611
440	481	610
441	482	608
442	482	607
443	483	605
444	484	604
445	485	602
446	485	601
447	486	599
448	487	598
449	488	596
450	488	594
451	489	593
452	490	592
453	491	590
454	491	589
455	492	588
456	494	587
457	494	585
458	495	584
459	496	582
460	497	581
461	498	580
462	499	579
463	500	578
464	501	576
465	502	575
466	502	574
467	503	572
468	504	571
469	505	569
470	506	568
471	507	567
472	508	567
473	509	565
474	510	564
475	511	563
476	512	561
477	513	560
478	513	559
479	514	557
480	515	556
481	516	555
482	517	554
483	518	553
484	519	551
485	520	550
486	521	548
487	521	547
488	522	546
489	523	545
490	524	544
491	525	542
492	526	541
493	527	540
494	528	538
495	528	537
496	529	536
497	530	534
498	531	533
499	532	532
500	532	530
501	533	529
502	534	528
503	535	526
504	535	525
505	536	523
506	537	522
507	538	521
508	539	520
509	540	519
510	541	518
511	542	516
512	543	515
513	543	514
514	544	512
515	545	511
516	546	510
517	546	508
518	547	507
519	548	506
520	549	504
521	549	503
522	550	502
523	551	500
524	552	499
525	553	498
526	554	497
527	555	496
528	556	495
529	557	494
530	558	493
531	559	492
532	560	490
533	561	489
534	562	488
535	562	487
536	563	485
537	564	484
538	565	483
539	566	482
540	566	480
541	567	479
542	568	478
543	569	477
544	570	476
545	571	474
546	572	473
547	572	472
548	573	471
549	574	470
550	575	468
551	576	467
552	576	466
553	577	464
554	578	463
555	579	462
556	579	461
557	580	460
558	581	458
559	582	457
560	583	456
561	584	455
562	585	454
563	586	453
564	586	451
565	587	450
566	588	449
567	589	448
568	589	446
569	590	445
570	591	444
571	592	443
572	593	441
573	593	440
574	595	439
575	596	438
576	597	437
577	598	436
578	599	435
579	600	434
580	601	433
581	602	432
582	602	431
583	604	430
584	605	429
585	606	428
586	607	427
587	607	425
588	608	424
589	609	423
590	610	422
591	611	421
592	612	420
593	613	419
594	614	418
595	615	417
596	616	415
597	617	414
598	618	414
599	619	413
600	620	411
601	621	410
602	622	409
603	623	408
604	624	407
605	625	406
606	625	405
607	626	403
608	627	402
609	628	402
610	629	400
611	630	399
612	631	398
613	632	397
614	633	396
615	633	395
616	634	394
617	635	392
618	636	391
619	637	390
620	638	389
621	639	388
622	640	387
623	640	386
624	641	385
625	642	383
626	643	383
627	644	381
628	645	380
629	646	379
630	647	378
631	648	377
632	649	376
633	649	375
634	650	373
635	651	372
636	652	371
637	652	370
638	653	369
639	654	368
640	655	367
641	656	366
642	658	365
643	659	364
644	660	363
645	661	362
646	662	361
647	663	360
648	664	359
649	665	358
650	666	357
651	667	356
652	668	355
653	669	354
654	670	353
655	671	352
656	672	350
657	673	350
658	674	349
659	675	348
660	676	346
661	677	345
662	678	344
663	679	344
664	680	343
665	681	341
666	682	340
667	683	339
668	684	338
669	685	337
670	686	336
671	688	335
672	689	335
673	690	334
674	691	333
675	692	332
676	694	331
677	695	330
678	696	329
679	697	328
680	698	327
681	699	326
682	700	325
683	701	323
684	702	322
685	703	321
686	704	320
687	705	319
688	706	318
689	706	317
690	707	316
691	708	315
692	709	314
693	710	313
694	711	312
695	712	311
696	713	309
697	713	308
698	714	307
699	715	306
700	716	305
701	717	304
702	718	303
703	719	302
704	720	301
705	721	300
706	722	299
707	723	298
708	723	297
709	724	296
710	725	294
711	726	293
712	727	292
713	728	291
714	729	290
715	730	289
716	731	288
717	733	287
718	734	287
719	735	286
720	736	284
721	737	283
722	738	282
723	738	281
724	739	280
725	740	279
726	742	278
727	743	277
728	744	276
729	745	275
730	746	274
731	747	273
732	753	274
733	755	273
734	756	272
735	757	271
736	758	270
737	759	269
738	761	268
739	762	267
740	763	266
741	765	265
742	766	264
743	767	263
744	768	262
745	769	261
746	770	260
747	771	259
748	771	258
749	772	257
750	773	256
751	774	255
752	775	254
753	776	253
754	778	252
755	779	251
756	780	250
757	781	249
758	782	248
759	783	247
760	784	246
761	785	245
762	786	244
763	787	243
764	788	242
765	789	241
766	790	240
767	792	239
768	793	238
769	795	237
770	796	236
771	797	235
772	798	234
773	799	233
774	800	232
775	801	231
776	803	230
777	804	229
778	805	228
779	806	227
780	807	226
781	808	225
782	809	224
783	810	223
784	811	222
785	812	221
786	813	220
787	814	219
788	815	218
789	816	217
790	817	216
791	818	215
792	819	213
793	820	212
794	821	211
795	822	210
796	823	209
797	824	208
798	825	207
799	826	206
800	827	205
801	828	204
802	829	203
803	830	202
804	831	201
805	832	200
806	833	199
807	834	198
808	835	197
809	836	196
810	838	195
811	839	194
812	840	193
813	841	192
814	843	191
815	844	190
816	845	189
817	846	188
818	847	187
819	848	186
820	849	185
821	850	184
822	852	183
823	854	182
824	855	181
825	856	180
826	859	179
827	861	178
828	862	177
829	863	176
830	864	175
831	866	174
832	867	173
833	869	173
834	870	172
835	871	171
836	872	169
837	873	168
838	874	167
839	875	166
840	876	165
841	878	164
842	879	163
843	880	162
844	881	161
845	882	160
846	883	159
847	884	158
848	886	157
849	887	156
850	888	155
851	889	154
852	890	153
853	891	152
854	892	151
855	893	150
856	894	149
857	895	148
858	896	147
859	898	146
860	899	145
861	900	144
862	902	143
863	903	142
864	904	141
865	905	140
866	906	139
867	907	137
868	908	136
869	909	135
870	910	134
871	911	133
872	912	132
873	913	131
874	915	130
875	916	129
876	917	128
877	918	127
878	919	126
879	920	125
880	921	124
881	922	123
882	924	122
883	925	121
884	927	120
885	928	119
886	929	118
887	930	117
888	932	116
889	933	115
890	935	114
891	936	113
892	937	112
893	938	111
894	939	110
895	940	109
896	941	108
897	942	107
898	944	106
899	945	105
900	946	103
901	947	102
902	948	101
903	949	100
904	951	99
905	952	98
906	953	97
907	953	96
908	954	95
909	955	94
910	956	93
911	957	92
912	959	91
913	960	90
914	962	89
915	963	88
916	964	87
917	965	86
918	966	85
919	968	84
920	970	83
921	971	82
922	973	81
923	975	80
924	976	79
925	977	78
926	978	77
927	980	76
928	981	75
929	982	73
930	983	72
931	984	71
932	986	70
933	987	69
934	989	68
935	991	67
936	992	66
937	993	65
938	994	64
939	995	63
940	996	62
941	998	61
942	999	60
943	1000	59
944	1001	58
945	1003	57
946	1004	56
947	1006	55
948	1007	54
949	1008	53
950	1009	52
951	1010	50
952	1012	49
953	1013	48
954	1014	47
955	1016	46
956	1019	45
957	1020	44
958	1021	43
959	1022	42
960	1023	41
961	1025	40
962	1026	39
963	1027	38
964	1028	37
965	1030	36
966	1031	35
967	1033	34
968	1034	33
969	1035	32
970	1036	30
971	1038	29
972	1039	28
973	1040	27
974	1041	26
975	1042	25
976	1044	24
977	1045	23
978	1046	22
979	1048	21
980	1049	20
981	1050	19
982	1051	18
983	1053	17
984	1054	16
985	1055	14
986	1056	13
987	1057	12
988	1058	11
989	1059	10
990	1060	9
991	1062	8
992	1063	7
993	1064	6
994	1066	5
995	1067	4
996	1068	3
997	1069	2
998	1070	1
999	1071	0
